name,performance,damage
1_2_3_4_5_6_hexafluorobenzene,0.01942147455430282,1.0967774131954646
1_2_3_4_5_6_hexamethylbenzene,0.014539025560907507,0.4266915307751431
1_2_3_4_5_6_pentafluorophenyl_ethanone,0.036369052895491805,0.9545126781610012
1_2_3_4_5_pentachloro_6_nitrobenzene,0.056770800665387054,5.070297166763248
1_2_3_4_5_pentachlorobenzene,0.02880308384890877,2.1184193745260402
1_2_3_4_5_pentafluoro_6_2_3_4_5_6_pentafluorophenyl_sulfanylbenzene,0.10839771462066464,6.206308598672179
1_2_3_4_5_pentafluorobenzene,0.005109896056523101,0.512875620925785
1_2_3_4_5_pentamethylbenzene,0.00988262638585572,0.2106078305968466
1_2_3_4_tetrafluorobenzene,0.005345983145004989,0.26316164530097613
1_2_3_4_tetrahydroquinoline,0.003922380826889889,0.07943520333020448
